product_id,product_name,category,description,price,rating
P001,Nike Revolution 6,shoes,Lightweight running shoe for beginners,4999,4.5
P002,Adidas Ultraboost 23,shoes,Premium running shoe with boost cushioning,12999,4.8
P003,ASICS Gel-Contend 7,shoes,Affordable GEL cushioned running shoe,5499,4.3
P004,Puma RS-X Core,shoes,Retro style shoe with modern comfort,6999,4.2
P005,New Balance 990v5,shoes,Premium daily running shoe,13999,4.7
P006,Dell XPS 13 Plus,laptops,Ultra portable laptop for professionals,94999,4.6
P007,MacBook Air M2,laptops,Apple M2 powered lightweight laptop,124999,4.9
P008,ASUS VivoBook 15,laptops,Budget laptop for students,44999,4.1
P009,Lenovo ThinkBook 14,laptops,Business laptop for daily tasks,49999,4
P010,HP Pavilion Gaming 15,laptops,Gaming and editing laptop,74999,4.4
P011,Sony WH-1000XM5,headphones,Premium ANC wireless headphones,39999,4.9
P012,Bose QuietComfort 45,headphones,Noise cancelling premium headphones,37999,4.8
P013,JBL Tune 750,headphones,Budget wireless headphones,8999,4.2
P014,Anker Soundcore Liberty 4,headphones,True wireless earbuds,6999,4.3
P015,Skullcandy Crusher Evo,headphones,Bass heavy wireless headphones,13999,4.5
P016,Herman Miller Aeron,furniture,Ergonomic office chair,128000,4.9
P017,Steelcase Leap,furniture,High-end ergonomic chair,115000,4.8
P018,IKEA Markus,furniture,Budget office chair,12999,3.8
P019,Autonomous SmartDesk Pro,furniture,Electric standing desk,85000,4.6
P020,Flexispot E7,furniture,Heavy duty standing desk,58000,4.4
P021,Hexa Yoga Mat,fitness,Non-slip yoga mat,2999,4.6
P022,Gaiam Premium Print Yoga Mat,fitness,Extra thick printed yoga mat,3499,4.6
P023,Fitbit Inspire 3,fitness,Health and fitness tracker,5999,4.4
P024,Garmin Venu Sq 2,smartwatches,GPS smartwatch with music,22990,4.5
P025,Apple Watch SE,smartwatches,Affordable Apple Watch with essential features,29900,4.7
P026,Sony Alpha ZV-E10,cameras,Vlogging camera with interchangeable lenses,61990,4.5
P027,Canon EOS R50,cameras,Compact mirrorless camera for creators,75990,4.6
P028,Logitech C920x Pro,cameras,HD Pro Webcam for streaming,8999,4.5
P029,DJI Mini 2 SE,cameras,Lightweight drone with QHD video,29999,4.7
P030,Fitbit Charge 5,fitness,Advanced fitness and health tracker,14999,4.5
P031,Garmin Forerunner 245,fitness,GPS running smartwatch with advanced dynamics,29999,4.7
P032,Bowflex SelectTech 552,fitness,Adjustable dumbbells for home gym,34999,4.8
P033,Peloton Bike,fitness,Premium stationary bike with live classes,120000,4.6
P034,Theragun Pro,fitness,Percussive therapy deep tissue massage gun,45000,4.9
P035,Reebok Nano X2,shoes,Versatile training shoe for weightlifting and cardio,8999,4.4
P036,Under Armour HOVR Phantom,shoes,Connected running shoes with zero gravity feel,11999,4.3
P037,Brooks Ghost 14,shoes,Smooth and reliable daily running shoe,10500,4.6
P038,Hoka One One Clifton 8,shoes,Maximum cushioning for long distance running,12500,4.7
P039,Salomon Speedcross 5,shoes,Aggressive grip trail running shoes,13000,4.5
P040,Nike Air Zoom Pegasus 39,shoes,Highly responsive lightweight daily runner,10495,4.6
P041,Adidas NMD_R1,shoes,Streetwear sneaker with responsive boost midsole,12999,4.4
P042,Vans Old Skool,shoes,Classic skate shoe with iconic side stripe,4999,4.5
P043,Converse Chuck Taylor All Star,shoes,Timeless high-top canvas sneaker,3999,4.3
P044,Puma Deviate Nitro,shoes,Carbon-plated high performance running shoe,14999,4.5
P045,Apple MacBook Pro 14 M2,laptops,High-performance laptop for creative professionals,199900,4.9
P046,Microsoft Surface Laptop 5,laptops,Sleek touchscreen laptop with long battery life,99999,4.4
P047,Razer Blade 15,laptops,Premium build high-end gaming laptop,180000,4.5
P048,LG Gram 16,laptops,Ultra-lightweight laptop with large screen,110000,4.6
P049,Acer Swift 3,laptops,Affordable thin and light laptop for everyday use,55000,4.2
P050,Lenovo Legion 5 Pro,laptops,Top-tier gaming laptop with QHD display,135000,4.8
P051,ASUS ROG Zephyrus G14,laptops,Compact and powerful gaming powerhouse,125000,4.7
P052,HP Spectre x360,laptops,Premium convertible 2-in-1 laptop,140000,4.6
P053,Dell Inspiron 15,laptops,Reliable daily driver for home and office,42000,4.1
P054,Samsung Galaxy Book2 Pro,laptops,AMOLED display ultra-thin professional laptop,115000,4.5
P055,Sennheiser Momentum 4,headphones,Exceptional audio quality wireless headphones,29990,4.7
P056,Apple AirPods Pro Gen 2,headphones,Active noise cancelling true wireless earbuds,24900,4.8
P057,Jabra Elite 85t,headphones,Advanced ANC and crystal clear calls,14999,4.4
P058,Sony WF-1000XM4,headphones,Industry leading noise cancelling earbuds,19990,4.6
